,index,country,province,region_1,winery,title,variety,price,points,taster_name,description,designation,taster_twitter_handle
38158,38118,Australia,South Australia,Eden Valley,Penfolds,Penfolds 2012 Bin 51 Riesling (Eden Valley),Riesling,40.0,90,Joe Czerwinski,"Evaluating young Eden Valley Rieslings isn't easy, as they often don't show their full potential for several years. The 2012 Bin 51 is tight and linear, crisply focused and a bit one-dimensional at this age. But the lime-driven fruit is potent and the finish beautifully clean and long. It should develop well over the next 7–8 years or more.",Bin 51,@JoeCz
38276,38236,Australia,Victoria,Yarra Valley,De Bortoli,De Bortoli 2007 Reserve Release Chardonnay (Yarra Valley),Chardonnay,45.0,89,Joe Czerwinski,"This medium-bodied Chardonnay is plump without being heavy, featuring modest citrus aromas but greater depth of fruit on the palate, adding pear and melon flavors to the mix. It's fresh and lively on the finish, which should serve it well with a wide variety of dishes. Drink now–2013.",Reserve Release,@JoeCz
38309,38269,Australia,South Australia,Eden Valley,Henschke,Henschke 2012 Julius Riesling (Eden Valley),Riesling,37.0,90,Joe Czerwinski,"This is surprisingly plump and accessible, featuring scents of lime rind upfront, then flavors of apple, nectarine and citrus. A medium-bodied wine with a long, mouthwatering finish, it's a tasty near-term drinker but should develop well for up to 10 years.",Julius,@JoeCz
38314,38274,Australia,South Australia,Barossa,Hewitson,Hewitson 2010 Miss Harry G-S-M (Barossa),G-S-M,23.0,90,Joe Czerwinski,"This GSM blend includes bits of Carignan and Cinsault. It's a full-bodied, supple wine intended for youthful consumption, with a long, mouthwatering finish. Raspberry and cherry fruit is balanced by savory notes of earth and mocha. Drink now–2016.",Miss Harry,@JoeCz
38638,38598,Australia,South Australia,McLaren Vale,Yangarra Estate Vineyard,Yangarra Estate Vineyard 2006 High Sands Grenache (McLaren Vale),Grenache,80.0,88,Joe Czerwinski,"A big, burly, concentrated Grenache, Yangarra's High Sands bottling seems capable of evolving nicely over the next 3–5 years, although it is supple enough to drink now. Black cherry preserves gain structure on the finish in the form of finely dusty tannins.",High Sands,@JoeCz
38643,38603,Australia,South Australia,South Australia,Oxford Landing,Oxford Landing 2007 GSM Grenache-Shiraz-Mourvèdre G-S-M (South Australia),G-S-M,8.0,88,Joe Czerwinski,"A remarkable value, Oxford Landing's GSM is a convincing argument in favor of blending. It offers a complex mélange of leather, spice and cherry notes, medium body and a fresh, vivacious finish. Considering it can probably be found for around $80 per case, this would make a great everyday wine for drinking over the next year or so.",GSM Grenache-Shiraz-Mourvèdre,@JoeCz
38651,38611,Australia,South Australia,Barossa,Schild Estate,Schild Estate 2009 Old Bush Vine GMS Grenache-Mourvèdre-Shiraz G-S-M (Barossa),G-S-M,15.0,88,Joe Czerwinski,"A soft, cuddly Grenache-based (55%) blend, Schild's GMS features red berry fruit with modest touches of cocoa and leather. It's very supple and round, easy to drink on its own. Probably best now and over the next year or so.",Old Bush Vine GMS Grenache-Mourvèdre-Shiraz,@JoeCz
38989,38950,Australia,South Australia,Clare Valley,Kilikanoon,Kilikanoon 2010 Attunga 1865 Shiraz (Clare Valley),Shiraz,235.0,94,Joe Czerwinski,"Fruit from 900 of some of the planet's oldest vines goes into this wine, which gives it an interesting link to the past as well as being excellent. Cedary notes frame blueberry and blackberry fruit, picking up nuances of menthol, hickory smoke and mocha along the way. The supple tannins seem to gain grip as you sip, finishing firm enough to suggest cellaring up to 15 years.",Attunga 1865,@JoeCz
39002,38962,Australia,South Australia,McLaren Vale,Kay Brothers,Kay Brothers 2010 Amery Vineyard Block 6 Shiraz (McLaren Vale),Shiraz,120.0,94,Joe Czerwinski,"This is a McLaren Vale classic, produced from vines planted in 1892. It's a full-bodied, chewy style that marries cedar and mint to deep, plummy fruit. Like many of the big-name Australian Shirazes, this doesn't require cellaring, but will reward it, at least through 2020.",Amery Vineyard Block 6,@JoeCz
39029,38988,Australia,South Australia,South Australia,Penfolds,Penfolds 2009 Bin 707 Cabernet Sauvignon (South Australia),Cabernet Sauvignon,200.0,95,Joe Czerwinski,"Penfolds Bin 707 has leapt in quality over the past few vintages. The 2009 features hints of mint, cedar and vanilla accenting ripe cassis fruit. It's full bodied and rich, velvety without being overly soft, with a dusty tannic structure that should support it over two decades or more of aging. Drink 2015–2030+.",Bin 707,@JoeCz
39097,39059,Australia,South Australia,Clare Valley,Wakefield,Wakefield 2013 St. Andrews Single Vineyard Release Shiraz (Clare Valley),Shiraz,60.0,95,Joe Czerwinski,"The Taylor family selected Clare Valley for its Cabernet affinity, but this Shiraz is a knockout. Yes, it's oaky—full of menthol, vanilla and toasted coconut—but there's just enough black cherry and plum fruit to support the wood. It's a plush, full-bodied wine with immense appeal, for drinking now–2025.",St. Andrews Single Vineyard Release,@JoeCz
39124,39086,Australia,Victoria,Rutherglen,Chambers Rosewood Vineyards,Chambers Rosewood Vineyards NV Grand Muscadelle (Rutherglen),Muscadelle,140.0,94,Joe Czerwinski,"Deep brown in color, this is a full-bodied, supersweet, thickly textured wine. Scents of rancio and maple sugar waft from the glass, while the flavors are brighter and fresher than expected, adding hints of citrus to the dark molasses and mocha notes.",Grand,@JoeCz
39133,39095,Australia,Tasmania,Tasmania,Dalrymple,Dalrymple 2014 Pipers River Cave Block Estate Chardonnay (Tasmania),Chardonnay,40.0,91,Joe Czerwinski,"This manages to be plush and rich in texture while keeping the alcohol level reined in. Pineapple crème brûlée aromas are backed up on the palate by flavors of peach and pineapple, finishing long and rich. Drink now.",Pipers River Cave Block Estate,@JoeCz
39142,39104,Australia,South Australia,McLaren Vale,Angove,Angove 2014 Warboys Vineyard Shiraz-Grenache (McLaren Vale),Shiraz-Grenache,65.0,91,Joe Czerwinski,"Recently, Angove's various Warboys Vineyard bottlings have been consistently excellent; the 2014 blends 57% Shiraz and 43% Grenache to good effect. It's full bodied, creamy and supple, combining vanilla notes with hints of mint and an ample dose of cherry-berry fruit. Drink now through 2022.",Warboys Vineyard,@JoeCz
39232,39195,Australia,South Australia,McLaren Vale,Wirra Wirra,Wirra Wirra 2014 Catapult Shiraz (McLaren Vale),Shiraz,20.0,88,Joe Czerwinski,"This is ripe, fruit-driven Shiraz with ample weight and ripeness. Hints of smoke and sage add nuance to the blueberry and black cherry fruit, while coarse-grained tannins provide adequate structure and grip. Drink now–2022.",Catapult,@JoeCz
39375,39339,Australia,South Australia,McLaren Vale,Mollydooker,Mollydooker 2014 Enchanted Path Shiraz-Cabernet (McLaren Vale),Shiraz-Cabernet,75.0,87,Joe Czerwinski,"Combine masses of American oak with high ripeness and the result is this warm woody wine oozing with vanilla, molasses and cedar. It's full and plush, but lacks complexity and cellaring potential. Drink it now.",Enchanted Path,@JoeCz
39432,39396,Australia,South Australia,Barossa Valley,John Duval Wines,John Duval Wines 2013 Entity Shiraz (Barossa Valley),Shiraz,40.0,92,Joe Czerwinski,"This is an earthy, savory style of Shiraz, with modest berry and plum fruit wrapped into a blanket of firm but silky tannins. Ample length and structure separates this from the rest of the pack.",Entity,@JoeCz
39586,39553,Australia,South Australia,McLaren Vale,D'Arenberg,D'Arenberg 2008 The Footbolt Shiraz (McLaren Vale),Shiraz,19.0,87,Joe Czerwinski,"Full bodied, lush and slightly liquorous in style, the 2008 Footbolt is also packed with peppery, slightly herbal blackberry fruit. There's also a hint of menthol. Drink it over the next 12 months.",The Footbolt,@JoeCz
39660,39627,Australia,South Australia,Eden Valley,Henschke,Henschke 2009 Hill of Grace Shiraz (Eden Valley),Shiraz,780.0,91,Joe Czerwinski,"This wine is rather developed, showing leather, earth and tobacco on the nose. Savory and meaty rather than fruity, it is full-bodied and pleasantly supple. Drink now–2020.",Hill of Grace,@JoeCz
39688,39654,Australia,Victoria,Yarra Valley,Yering Station,Yering Station 2005 Reserve Pinot Noir (Yarra Valley),Pinot Noir,45.0,91,Joe Czerwinski,"A big, rich Pinot, but one that for all its weight and intensity doesn't lack for elegance. Black cherry fruit and spice notes coat the mouth, lingering on the finish. Drink it now and over the next several years. Imported by Epic Wines.",Reserve,@JoeCz
39716,39683,Australia,South Australia,McLaren Vale,Kay Brothers,Kay Brothers 2012 Basket Pressed Amery Vineyard Shiraz (McLaren Vale),Shiraz,40.0,93,Joe Czerwinski,"This is full bodied yet firmly structured, built to enjoy now or age through at least 2025. Ample cedary oak notes frame blueberry fruit and peppery spice. This is tight but still enjoyable, ending in a lengthy crescendo of dusty tannins.",Basket Pressed Amery Vineyard,@JoeCz
39724,39691,Australia,Western Australia,Margaret River,Cherubino,Cherubino 2010 Cowaramup Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,54.0,93,Joe Czerwinski,"Cowaramup is a Margaret River subregion. A herbal note adds interest to the aromas, and some lifted red fruit sets this wine apart from Cherubino's other 2010 Cabernets. Otherwise, it's pretty similar in its lavish oaking and meaty, savory flavors, but with a bright, mouthwatering finish. Drink now–2020.",Cowaramup,@JoeCz
39845,40942,Australia,Australia Other,Australia,Silverwing,Silverwing NV Brut  (Australia),Champagne Blend,11.0,82,Joe Czerwinski,"Broad in the mouth and on the sweet side, this Chardonnay-Pinot Noir blend does offer some attractive gingery notes on the nose, while the flavors favor baked apples.",Brut,@JoeCz
40005,39971,Australia,Australia Other,South Eastern Australia,Jindalee,Jindalee 2007 Circle Collection Rosé (South Eastern Australia),Rosé,10.0,84,Joe Czerwinski,"Modest cherry and strawberry notes appear on the nose and the palate, with some slightly herbal flavors as well. It's light in body, with soft acids and a relatively quick finish.",Circle Collection,@JoeCz
40009,39975,Australia,Victoria,Yarra Valley,De Bortoli,De Bortoli 2006 Reserve Release Pinot Noir (Yarra Valley),Pinot Noir,60.0,84,Joe Czerwinski,"De Bortoli's unique approach to harvest timing and extensive use of new oak leaves this wine seeming rather disjointed: coffee and cola notes dominate the tart, cranberryish fruit flavors. I suspect it will show better with a few years' of cellaring, but until then, I remain unconvinced.",Reserve Release,@JoeCz
40059,40025,Australia,South Australia,Adelaide Hills,Mr. Riggs,Mr. Riggs 2013 Generation Series Cold Chalk Chardonnay (Adelaide Hills),Chardonnay,29.0,87,Joe Czerwinski,"This medium-bodied wine offers an elegant, silky mouthfeel. Some yeasty-dough aromas add interest to the pineapple and tangerine flavors, which linger delicately on the finish.",Generation Series Cold Chalk,@JoeCz
40185,40149,Australia,Western Australia,Great Southern,Robert Oatley,Robert Oatley 2012 Finisterre Cabernet Sauvignon (Great Southern),Cabernet Sauvignon,35.0,91,Joe Czerwinski,"Well oaked, showing plenty of espresso-like char and brown sugar on the nose, this is a full-bodied, creamy-textured Cabernet. Mocha and caramel flavors continue the theme, backed by just enough cassis fruit. Drink now–2025.",Finisterre,@JoeCz
40190,40154,Australia,South Australia,McLaren Vale,D'Arenberg,D'Arenberg 2013 d'Arry's Original Shiraz-Grenache (McLaren Vale),Shiraz-Grenache,20.0,91,Joe Czerwinski,"This 50-50 blend is firm, focused and rich, offering attractive aromas of mint, vanilla, cedar and red-skinned plums. Flavors turn darker, suggesting espresso and chocolate, but enlivened by bright acids. A wine worth holding a few years, priced at $20? Buy now, drink after 2020.",d'Arry's Original,@JoeCz
40199,40163,Australia,Western Australia,Margaret River,Leeuwin Estate,Leeuwin Estate 2015 Siblings Sauvignon Blanc-Semillon (Margaret River),Sauvignon Blanc-Semillon,20.0,91,Joe Czerwinski,"This blend of two-thirds Sauvignon Blanc and one-third Semillon gets a touch of barrel aging, reflected in its silky texture more than any overt aromas or flavors. The palate is fruit-forward, offering hints of citrus, underripe nectarine, wet stone and green apple, finishing long and mouthwatering.",Siblings,@JoeCz
40232,40199,Australia,South Australia,South Australia,Yalumba,Yalumba 2009 Y Series Unwooded Chardonnay (South Australia),Chardonnay,10.0,85,Joe Czerwinski,Looking for a medium-bodied Chardonnay with a citrusy edge? Look no further. Peach and lime scents ease into tropical fruit while retaining that zestiness on the finish. Drink now.,Y Series Unwooded,@JoeCz
40257,40225,Australia,Victoria,Victoria,Yering Station,Yering Station 2003 Yarrabank Cuvée Sparkling (Victoria),Sparkling Blend,28.0,86,Joe Czerwinski,"A joint venture with Champagne Devaux, the Yarrabank Cuvée is a crisp sparkling wine that combines flavors of fresh greens and citrus in a medium-bodied, slightly creamy format. Very clean and fresh, if somewhat simple.",Yarrabank Cuvée,@JoeCz
40258,40226,Australia,Australia Other,South Eastern Australia,De Bortoli,De Bortoli NV dB Sparkling Brut Sparkling (South Eastern Australia),Sparkling Blend,10.0,85,Joe Czerwinski,"Light and fresh, this 100% Chardonnay sparkler features slightly gingery, briny, biscuity aromas and crisp, balanced finish. At the price, the only serious competition is Cava, with its decidedly different flavors.",dB Sparkling Brut,@JoeCz
40271,40239,Australia,Victoria,Victoria,De Bortoli,De Bortoli 2007 Windy Peak Pinot Noir (Victoria),Pinot Noir,15.0,85,Joe Czerwinski,"This is a medium-bodied, somewhat chunky Pinot Noir, but does manage to combine plummy aromas with distinctively Pinot-like sous-bois character. The flavors turn tart and savory, ending on a pomegranate note.",Windy Peak,@JoeCz
40285,40253,Australia,South Australia,Clare Valley,Kilikanoon,Kilikanoon 2013 Blocks Road Cabernet Sauvignon (Clare Valley),Cabernet Sauvignon,30.0,91,Joe Czerwinski,"Parts of Clare Valley are ideal for Cabernet Sauvignon, illustrated by this reasonably priced bottling. Mint and cassis show remarkable purity on the nose, while the palate is properly restrained without being hard or austere. That said, there are some dusty tannins on the finish, so drink 2020–2030.",Blocks Road,@JoeCz
40294,40262,Australia,South Australia,Barossa,Yalumba,Yalumba 2013 Paradox Shiraz (Barossa),Shiraz,45.0,91,Joe Czerwinski,"Although sourced from the warm northern end of Barossa, the intention is to make a less bombastic expression of Shiraz, with only 14% new French oak. Mulberry fruit still comes through, accented by hints of coffee, mint and dark chocolate, without too much extraction or tannin. Drink now–2025.",Paradox,@JoeCz
40295,40263,Australia,New South Wales,Riverina,Nugan Family Estates,Nugan Family Estates 2013 Stomper's Single Vineyard Cabernet Sauvignon (Riverina),Cabernet Sauvignon,17.0,91,Joe Czerwinski,"Despite coming from a warm, inland region, this shows admirable freshness. Cassis, vanilla, some red-fruit tones and baking spices all come together harmoniously on the medium-bodied palate. It's restrained yet intense, with a long, silky finish. Drink now–2025.",Stomper's Single Vineyard,@JoeCz
40297,40265,Australia,South Australia,Coonawarra,Jim Barry,Jim Barry 2014 The Cover Drive Cabernet Sauvignon (Coonawarra),Cabernet Sauvignon,20.0,91,Joe Czerwinski,"This is a terrific value in balanced, ready-to-drink Australian Cabernet. It brings several Bordeaux-ish qualities to the table—medium body, silky tannins and aromas reminiscent of cigar box and Ribena—then adds varietally true flavors and a long finish. Drink now–2025.",The Cover Drive,@JoeCz
40298,40266,Australia,South Australia,Clare Valley,Kilikanoon,Kilikanoon 2013 Covenant Shiraz (Clare Valley),Shiraz,40.0,91,Joe Czerwinski,"Made in a savory, ageworthy style, the 2013 Covenant features aromas of tar, espresso and black olive. It adds intriguing red-berry notes on the full-bodied palate, along with dusty tannins that persist through the long finish. Drink 2018–2025.",Covenant,@JoeCz
40495,40463,Australia,South Australia,South Australia,Oxford Landing,Oxford Landing 2008 GSM Grenache-Shiraz-Mourvèdre Red (South Australia),Rhône-style Red Blend,10.0,85,Joe Czerwinski,"This blend of 45% Grenache, 28% Shiraz and 27% Mourvèdre does show a trace of heat in its finish, but is otherwise a pleasant, medium-bodied sipper at a realistic price. Tart, slightly minty cherries feature undercurrents of chocolate and coffee, turning crisp and lemony on the finish. Drink now.",GSM Grenache-Shiraz-Mourvèdre,@JoeCz
40552,40520,Australia,Western Australia,Margaret River,Leeuwin Estate,Leeuwin Estate 2010 Art Series Shiraz (Margaret River),Shiraz,35.0,88,Joe Czerwinski,"This wine's bright berry notes make it very accessible—the raspberry perfume is virtually irresistible. Those berries are capably framed by cedary elements, but on the palate, the structure of the wine is taut, wiry and crisp. Drink it over the next few years for its fruity appeal.",Art Series,@JoeCz
40643,40609,Australia,South Australia,McLaren Vale,Fox Creek,Fox Creek 2014 Three Blocks Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,30.0,90,Joe Czerwinski,"This seems a bit oaky on the nose, where scents of baking spices and cedar dominate, but those elements are balanced out on the palate, where blackberries, plums and black currants comes to the fore. This is a full-bodied, ripe-textured wine worth a look. Drink now–2025.",Three Blocks,@JoeCz
40646,40612,Australia,South Australia,Barossa,Elderton,Elderton 2010 Ashmead Single Vineyard Cabernet Sauvignon (Barossa),Cabernet Sauvignon,108.0,89,Joe Czerwinski,"This wine ticks all the boxes, but just lacks the excitement and drama to take it to the next level. Smoke and vanilla notes add interest to the juicy, easy-to-drink cassis fruit. There's ample but not too much weight on the palate. Supple tannins. Perhaps it just needs additional cellaring time to warrant the price, although it doesn't come across as needing it in the structural sense.",Ashmead Single Vineyard,@JoeCz
40695,40661,Australia,Australia Other,Australia,De Bortoli,De Bortoli 2013 DB Family Selection Chardonnay (Australia),Chardonnay,9.0,85,Joe Czerwinski,"The De Bortoli family does a solid job with Chardonnay—even this entry-level wine shows some complexity and finesse. Hints of smoke and graphite frame bright pineapple and lime flavors, delivered without excessive weight or richness.",DB Family Selection,@JoeCz
40787,40752,Australia,South Australia,McLaren Vale,Gibson's BarossaVale,Gibson's BarossaVale 2005 Australian Old Vine Collection Grenache (McLaren Vale),Grenache,100.0,90,Joe Czerwinski,"A tiny bottling (220 cases) of old-vine Grenache, this wine features lovely aromas of cinnamon, clove and ripe cherries. In the mouth it's surprisingly elegant, delivering cherry and spice flavors without excessive weight, ending on a slightly tart note. Drink now and over the next 4–5 years.",Australian Old Vine Collection,@JoeCz
41020,40993,Australia,South Australia,Coonawarra,McWilliam's of Coonawarra,McWilliam's of Coonawarra 2002 Brand's Laira Vineyards Shiraz (Coonawarra),Shiraz,28.0,85,Joe Czerwinski,"This medium- to full-bodied Shiraz starts off with aromas that suggest cured meats and slightly stewed plums, while the flavors are even meatier, picking up some citrusy notes. Crisp acids accentuate some drying tannins on the finish, giving this wine a somewhat stern demeanor. Imported by McWilliam's of Coonawarra.",Brand's Laira Vineyards,@JoeCz
41242,41214,Australia,Australia Other,South Eastern Australia,De Bortoli,De Bortoli 2006 Deen de Bortoli Vat 1 Petite Sirah (South Eastern Australia),Petite Sirah,13.0,84,Joe Czerwinski,"This is nominally a step up from De Bortoli's dB Selection Petite Sirah, but this fresh, directly fruity wine doesn't seem to offer much beyond jammy fruit. It's medium-bodied, with a crisp finish and just a hint of tannic structure. Drink now–2012.",Deen de Bortoli Vat 1,@JoeCz
41487,41460,Australia,Victoria,Victoria,Fowles Wine,Fowles Wine 2014 Are You Game? Sauvignon Blanc (Victoria),Sauvignon Blanc,17.0,86,Joe Czerwinski,"Cut grass and grapefruit rind aromas are followed by simple, crisp, citrusy flavors. It's medium in body, with a slightly chalky feel and a clean, refreshing finish.",Are You Game?,@JoeCz
41515,41488,Australia,Victoria,Bendigo,Passing Clouds,Passing Clouds 1998 Graeme's Blend Shiraz-Cabernet Sauvignon (Bendigo),Shiraz-Cabernet Sauvignon,25.0,86,Joe Czerwinski,"This big, rugged 60-40 blend may dry out if cellared too long, so drink it young with rare beef to help tame the substantial tannins. Smoke, dried-herb and black-currant flavors should mesh nicely with your next roast. —J.C.",Graeme's Blend,@JoeCz
41522,41495,Australia,South Australia,South Australia,Tatachilla,Tatachilla 1999 Grenache-Mourvedre Red (South Australia),Rhône-style Red Blend,9.0,86,Joe Czerwinski,"At two-thirds Grenache and one-third Mourvèdre, this wine comes across full and rich, and a trifle alcoholic. The overall sensation is of a cherry-vanilla sundae smothered in toffee and chocolate—too much of a good thing for some tasters, heaven in a glass to others. —J.C.",Grenache-Mourvedre,@JoeCz
41529,41502,Australia,Victoria,Nagambie Lakes,Tahbilk,Tahbilk 2015 Estate Grown and Bottled Marsanne (Nagambie Lakes),Marsanne,18.0,87,Joe Czerwinski,"Tahbilk's Marsanne is always difficult to evaluate young, as it's invariably rather neutral in aroma and flavor. Subtle notes of pear and marshmallow make a fleeting appearance before yielding to crisp, lemony finish. Drink now with oysters, or hold 5–10 years for greater weight, texture and versatility with food.",Estate Grown and Bottled,@JoeCz
41558,41530,Australia,Australia Other,South Eastern Australia,Nugan Family Estates,Nugan Family Estates 2015 Third Generation Chardonnay (South Eastern Australia),Chardonnay,12.0,87,Joe Czerwinski,"From a warm, inland region, this is nevertheless a fine value. It's rich and full-bodied without being over the top, offering spice-accented notes of peach, apricot and pineapple. Drink now.",Third Generation,@JoeCz
41599,41570,Australia,Australia Other,South Eastern Australia,Nugan Family Estates,Nugan Family Estates 2014 Third Generation Chardonnay (South Eastern Australia),Chardonnay,12.0,86,Joe Czerwinski,"Cinnamon, clove and cashew notes combine with peach and pineapple to offer a fleshy mouthful of satisfying flavor that only lacks a bit of zest on the finish. Drink now.",Third Generation,@JoeCz
41616,41589,Australia,South Australia,Limestone Coast,Di Giorgio Family Wines,Di Giorgio Family Wines 2013 Lucindale Chardonnay (Limestone Coast),Chardonnay,16.0,86,Joe Czerwinski,"This medium-bodied wine balances pineapple fruit with bright acids and mid-range alcohol. It's a simple, citrusy quaff that finishes crisp and clean. Drink now.",Lucindale,@JoeCz
41785,41759,Australia,South Australia,South Australia,Yalumba,Yalumba 2014 Made with Organic Grapes Viognier (South Australia),Viognier,17.0,91,Joe Czerwinski,"On top of being made from organically grown grapes, this wine is vegan friendly. Of course, that means nothing unless the wine is good. Thankfully, this wine is excellent. Apricot, honey and ginger notes mingle easily on the palate. Drink this full-bodied, slightly open-knit wine over through 2017.",Made with Organic Grapes,@JoeCz
41799,41772,Australia,South Australia,McLaren Vale,Wirra Wirra,Wirra Wirra 2013 Church Block Cabernet Sauvignon-Merlot-Shiraz (McLaren Vale),Cabernet Sauvignon-Merlot-Shiraz,20.0,91,Joe Czerwinski,"At 50% Cabernet Sauvignon, this is a firm, cassis-scented wine, but one that includes hints of ripeness and generous fruit. Dried herbs and brown sugar add nuance, while the velvety finish picks up some meaty, savory notes. Drink now–2025.",Church Block,@JoeCz
41808,41781,Australia,South Australia,Barossa Valley,Peter Lehmann,Peter Lehmann 2014 Portrait Shiraz (Barossa Valley),Shiraz,16.0,89,Joe Czerwinski,"This medium-bodied Shiraz represents a solid value. Sourced from 80 growers, it's meant to present a “portrait” of the Barossa region, and it delivers vanilla, plum and black olive aromas and flavors, supple tannins and a lingering mocha finish.",Portrait,@JoeCz
42961,42933,Australia,Western Australia,Great Southern,Plantagenet,Plantagenet 2010 Omrah Pinot Noir (Great Southern),Pinot Noir,20.0,87,Joe Czerwinski,"Despite ample alcohol levels and soft tannins, this wine comes across as tart and crisp on the palate, its cola, cherry and vanilla flavors ending on a lemony note.",Omrah,@JoeCz
42982,42954,Australia,South Australia,McLaren Vale,Richard Hamilton,Richard Hamilton 2005 Colton's Grenache-Shiraz (McLaren Vale),Grenache-Shiraz,20.0,87,Joe Czerwinski,"With only 10% Shiraz, this wine shows off the exuberant fruit and supple tannins of Grenache. Blackberry and raspberry fruit is mildly tart, spiced with a dusting of cinnamon and cocoa. Good length on the finish marks this casual sipper with a touch of extra quality. Drink now–2010.",Colton's,@JoeCz
43088,43061,Australia,South Australia,Clarendon,Clarendon Hills,Clarendon Hills 2008 Piggot Range Syrah (Clarendon),Syrah,110.0,90,Joe Czerwinski,"This is a potent, rich Shiraz. It's full bodied and thickly textured, with aromas and flavors of mocha, asphalt and plum. The overall impression is somewhat chunky and inelegant but undeniably concentrated. Give it five years or so to smooth out some of the rough edges.",Piggot Range,@JoeCz
43092,43065,Australia,South Australia,Clare Valley,Kilikanoon,Kilikanoon 2008 Oracle Shiraz (Clare Valley),Shiraz,70.0,89,Joe Czerwinski,"This wine starts off with notes of blackberry, mint and asphalt on the nose, unfurling on the tongue to reveal tar, black olive, meat and blackberry flavors. It's full bodied and intense, even a bit warm on the finish. Impressively concentrated, but slightly bitter as well.",Oracle,@JoeCz
43223,43195,Australia,South Australia,South Australia,TapaNappa,TapaNappa 2006 Tiers Vineyard Chardonnay (South Australia),Chardonnay,70.0,93,Joe Czerwinski,"Brian Croser's efforts with Tiers Vineyard Chardonnay have finally paid off in a big way. This is a plump, amply textured wine that doesn't lack for elegance, marrying scents and flavors of toasted grain with white peaches and hazelnuts. Long and intense on the finish, echoing with toasty oak but also layers of vibrant fruit. Drink now–2015.",Tiers Vineyard,@JoeCz
43394,43367,Australia,South Australia,McLaren Vale,D'Arenberg,D'Arenberg 2013 The Derelict Vineyard Grenache (McLaren Vale),Grenache,29.0,91,Joe Czerwinski,"The d'Arenberg style favors structure over plushness, even in Grenache. This is crisp and firm, its cranberryish fruit tinged with hints of raspberry, orange zest, cinnamon and clove. Give it a few years to soften. Drink 2020–2030.",The Derelict Vineyard,@JoeCz
43407,43380,Australia,Australia Other,Australia,Rosemount,Rosemount 2001 Grenache-Shiraz Red (Australia),Red Blend,9.0,83,Joe Czerwinski,"Simple, sweet-tasting and slightly candied, this bouncy drink is best served slightly chilled. Think of it as an introduction to wine—something to explore after white Zinfandel. —J.C.",Grenache-Shiraz,@JoeCz
43417,43390,Australia,Victoria,Rutherglen,Campbells,Campbells 1998 Bobbie Burns Shiraz (Rutherglen),Shiraz,20.0,83,Joe Czerwinski,"If there's nothing special to recommend here, there's also nothing awry. Leather and earth join modest tart berry flavors. Finishes dry and tough; it's an austere wine that probably needs food to come alive. —J.C.",Bobbie Burns,@JoeCz
43420,43393,Australia,New South Wales,Hunter Valley,Macquariedale,Macquariedale 1999 Thomas Shiraz (Hunter Valley),Shiraz,22.0,83,Joe Czerwinski,"Smells dry and dusty, like a midwestern country lane in August. The fruit comes through in the mouth, filling it with bright red berries and cherries, while touches of ground black pepper and vanilla oak show up on the finish. —J.C.",Thomas,@JoeCz
43424,43397,Australia,Australia Other,South Eastern Australia,Rosemount,Rosemount 2001 Diamond Label Pinot Noir (South Eastern Australia),Pinot Noir,12.0,83,Joe Czerwinski,"This is a bigger, more forceful wine than its Lindemans stablemate, but not quite as charming. The flavors are earthy and dark, featuring hints of cola and root beer. Finishes with drying tannins. —J.C.",Diamond Label,@JoeCz
43443,43416,Australia,Victoria,Victoria,Fowles Wine,Fowles Wine 2014 Ladies Who Shoot Their Lunch Riesling (Victoria),Riesling,35.0,89,Joe Czerwinski,"This wine, which comes from thin, granitic soils, is lean, taut and dry. Hints of lime blossom and green apple on the nose and palate give it a springtime feel, while the finish is crisp and refreshing.",Ladies Who Shoot Their Lunch,@JoeCz
43639,43613,Australia,South Australia,Adelaide Hills,D'Arenberg,D'Arenberg 2015 The Broken Fishplate Sauvignon Blanc (Adelaide Hills),Sauvignon Blanc,17.0,84,Joe Czerwinski,"This will likely prove a bit too vegetal for some, as the aromas hint at asparagus. But there's pineapple and honey on the palate and decent weight in the mouth.",The Broken Fishplate,@JoeCz
43802,43777,Australia,South Australia,South Australia,Jacob's Creek,Jacob's Creek 2006 Reserve Chardonnay (South Australia),Chardonnay,12.0,87,Joe Czerwinski,"JC is making an effort to upgrade its Reserve range, and this is a good example, offering peach and pineapple flavors framed by vanilla, butter and toast. It's all barrel-fermented, impressive at this production level (25,000 cases) and price point.",Reserve,@JoeCz
43813,43788,Australia,Australia Other,South Eastern Australia,Andrew Peace,Andrew Peace 2006 MasterPeace Chardonnay (South Eastern Australia),Chardonnay,12.0,87,Joe Czerwinski,"There's a touch of wood to this wine, but the primary emphasis is on citrusy, pineapple-scented fruit. Apple flavors provide roundness, while the wine finishes citrusy and fresh without being sharp.",MasterPeace,@JoeCz
44083,44060,Australia,South Australia,Barossa Valley,Kurtz Family,Kurtz Family 2000 Boundary Row Grenache (Barossa Valley),Grenache,18.0,88,Joe Czerwinski,"Rich and intense but also round and soft. A horsey note adds complexity and rusticity to the dark chocolate, leather and black cherry aromas and flavors. —J.C.",Boundary Row,@JoeCz
