,index,country,province,region_1,winery,title,variety,price,points,taster_name,description,designation,taster_twitter_handle
5116,5086,Italy,Piedmont,Barolo,Parusso,Parusso 2010 Bussia  (Barolo),Nebbiolo,90.0,87,Kerin O’Keefe,"An unusual medley of aromas include orange peel, dill, mint, thyme, espresso and oak. The palate offers coffee, toasted oak and sugary vanilla but it doesn't have much fruit richness. Astringent tannins give a short, bitter finish that dries out the mouth.",Bussia,@kerinokeefe
5142,5112,Italy,Piedmont,Barbera d'Asti Superiore,Pico Maccario,Pico Maccario 2010 Epico  (Barbera d'Asti Superiore),Barbera,45.0,86,Kerin O’Keefe,"This full-bodied Barbera has ripe black-cherry aromas nuanced with toast and coffee notes. The palate is structured, with dark fruit flavors, pepper, toasted oak and espresso notes, but the drying wood tannins result in an abrupt finish. Grape Expectations and Massanois Imports.",Epico,@kerinokeefe
5143,5113,Italy,Piedmont,Barbera d'Asti,Pico Maccario,Pico Maccario 2012 Lavignone  (Barbera d'Asti),Barbera,17.0,86,Kerin O’Keefe,"This is a straightforward and pleasant Barbera exhibiting ripe dark-fruit flavors, spice and fresh acidity. Cries out for food, and will pair beautifully with soups, pastas and white meats. Grape Expectations and Massanois Imports.",Lavignone,@kerinokeefe
5167,5137,Italy,Tuscany,Toscana,Brancaia,Brancaia 2012 Ilatraia Red (Toscana),Red Blend,70.0,92,Kerin O’Keefe,"Made from 40% Cabernet Sauvignon, 40% Petit Verdot and 20% Cabernet Franc, this has inviting aromas of ripe black-skinned fruit, forest floor and a whiff of cedar. The dense, polished palate delivers ripe black cherry, clove, licorice and tobacco. Firm, refined tannins provide support.",Ilatraia,@kerinokeefe
5228,5196,Italy,Tuscany,Morellino di Scansano,Poggio Argentiera,Poggio Argentiera 2009 Capatosta  (Morellino di Scansano),Red Blend,32.0,90,Kerin O’Keefe,"Intense sensations of blue flower, juicy marasca cherry, blackberry and blueberry form the focus of this luminous blend of 85% Sangiovese, 10% Ciliegiolo and 5% Alicante. White pepper and cinnamon spice give the juicy, delicious palate depth while supple tannins and freshness make it extremely accessible. It's at its peace so enjoy soon. Vos Selections, Tosco Wine,",Capatosta,@kerinokeefe
5231,5198,Italy,Tuscany,Chianti Classico,Querciavalle,Querciavalle 2007 Riserva  (Chianti Classico),Red Blend,33.0,90,Kerin O’Keefe,"Made with the traditional governo method of refermenting the wine with partially dried grapes, this exceptionally smooth offering opens with aromas of prune, plum cake, raisin, spice and graphite. The palate delivers ripe black cherry, plum, cinnamon-spice and a balsamic note alongside velvety tannins. It's structured, soft and already accessible, so enjoy soon.",Riserva,@kerinokeefe
5241,5208,Italy,Sicily & Sardinia,Etna,Fattorie Romeo del Castello,Fattorie Romeo del Castello 2012 Allegracore Rosso  (Etna),Red Blend,28.0,92,Kerin O’Keefe,"This elegant, structured red opens with a potpourri of perfumed berry, wild flower and a whiff of cake spice. The juicy palate doles out black cherry, wild strawberry, cinnamon, star anise and menthol alongside firm but fine-grained tannins. Drink 2017–2022.",Allegracore Rosso,@kerinokeefe
5253,5220,Italy,Sicily & Sardinia,Sicilia,Le Casematte,Le Casematte 2012 Figliodienneenne Red (Sicilia),Red Blend,18.0,92,Kerin O’Keefe,"Made with native grapes Nerello Mascalese and Nocera, this bright wine delivers aromas of perfumed berry, blue flower and a whiff of cake spice. The sleek palate delivers wild cherry, crushed strawberry, clove, cinnamon, orange peel and thyme alongside firm, polished tannins. It finishes on a mineral note. Drink through 2018.",Figliodienneenne,@kerinokeefe
5285,5251,Italy,Tuscany,Vino Nobile di Montepulciano,Salcheto,Salcheto 2010 Salco  (Vino Nobile di Montepulciano),Sangiovese,65.0,91,Kerin O’Keefe,"Dense and structured, this opens with aromas of baked plum, menthol, coconut and toasted oak. The concentrated palate displays cherries marinated in spirits, grilled sage, licorice and roasted coffee bean alongside tightly packed, fine-grained tannins that need time to unwind. Drink 2018–2030.",Salco,@kerinokeefe
5298,5264,Italy,Central Italy,Rosso Conero,Umani Ronchi,Umani Ronchi 2011 San Lorenzo  (Rosso Conero),Montepulciano,17.0,88,Kerin O’Keefe,"Made from 100% Montepulciano, this delicious, friendly wine is loaded with mouthwatering black cherry layered with mint, nutmeg and black pepper. It's round, ripe and extremely approachable so enjoy soon. Pair with everything from hearty pasta dishes to barbecue fair.",San Lorenzo,@kerinokeefe
5299,5265,Italy,Central Italy,Falerio,Velenosi,Velenosi 2012 Villa Angela Pecorino (Falerio),Pecorino,15.0,88,Kerin O’Keefe,"Floral sensations of acacia flower, jasmine and herbs meld with tropical fruit, citrus and sage. The medium-bodied palate also offers a flinty mineral note and a whiff of smoke, while bright acidity leaves the palate refreshed.",Villa Angela,@kerinokeefe
5301,5267,Italy,Central Italy,Verdicchio dei Castelli di Jesi,Colonnara,Colonnara NV Luigi Ghislieri  (Verdicchio dei Castelli di Jesi),Verdicchio,35.0,88,Kerin O’Keefe,"This delightful sparkler shows the versatility of the Verdicchio grape. A metodo classico, it has bright and delicious apple, tropical fruit and citrus flavors, with a walnut note on the finish. It's enjoyable now and the silky mousse makes this extra drinkable.",Luigi Ghislieri,@kerinokeefe
5308,5274,Italy,Central Italy,Conero,Fattoria Le Terrazze,Fattoria Le Terrazze 2008 Riserva Sassi Neri  (Conero),Montepulciano,35.0,88,Kerin O’Keefe,"This wine opens with a pretty fragrance of blue flower, black fruit and spice. The juicy palate is one dimensional but delicious, offering ripe black cherry and blackberry layered with milk chocolate. It's extremely accessible so enjoy soon.",Riserva Sassi Neri,@kerinokeefe
5319,5285,Italy,Central Italy,Rosso Piceno,Vicari,Vicari 2011 Del Pozzo Buono  (Rosso Piceno),Red Blend,18.0,87,Kerin O’Keefe,"This blend of 70% Montepulciano and 30% Sangiovese is bright and approachable. It opens with pretty aromas of red cherry and blue flower that carry over to the palate, along with white pepper and a hint of tobacco leaf. Juicy and extremely accessible, enjoy this now.",Del Pozzo Buono,@kerinokeefe
5382,5349,Italy,Tuscany,Toscana,Michele Satta,Michele Satta 2013 Giovin Re Viognier (Toscana),Viognier,50.0,89,Kerin O’Keefe,"This full-bodied Viognier opens with aromas of toasted oak, butterscotch, vanilla and mature apricot. On the richly textured palate, notes of vanilla, nut and toast precede creamy white peach and lemon drop.",Giovin Re,@kerinokeefe
5394,5361,Italy,Central Italy,Montepulciano d'Abruzzo,Barba,Barba 2011 I Vasari Old Vines  (Montepulciano d'Abruzzo),Montepulciano,25.0,89,Kerin O’Keefe,"This deeply colored wine unfurls with aromas of dark berry, juniper flower and a hint of vanilla. The concentrated palate delivers sour cherry, plum and pipe tobacco alongside firm but fine-grained tannins.",I Vasari Old Vines,@kerinokeefe
5401,5368,Italy,Tuscany,Val di Cornia Suvereto,Gualdo del Re,Gualdo del Re 2010 Amansio Passito Aleatico (Val di Cornia Suvereto),Aleatico,55.0,89,Kerin O’Keefe,"Aromas recall spicy plum and black raspberry. The concentrated but balanced palate offers cassis, prune and blackberry, with velvety tannins and fresh acidity.",Amansio Passito,@kerinokeefe
5404,5371,Italy,Central Italy,Orvieto Classico Superiore,Castello della Sala,Castello della Sala 2014 San Giovanni  (Orvieto Classico Superiore),White Blend,25.0,89,Kerin O’Keefe,"This elegant, fragrant expression of Orvieto delivers heady aromas of tropical fruit, apricot and citrus. The linear palate doles out juicy peach, pineapple and lemon zest accented with a hint of aromatic herb. Vibrant acidity provides the framework.",San Giovanni,@kerinokeefe
5405,5372,Italy,Tuscany,Chianti Classico,Castello di Gabbiano,Castello di Gabbiano 2011 Bellezza Gran Selezione  (Chianti Classico),Sangiovese,38.0,89,Kerin O’Keefe,"Aromas of ripe berry, grilled herb, leather and game lead the nose. The palate offers spiced plum, dried black cherry, mint, espresso, toast and vanilla alongside round tannins. Drink through 2019.",Bellezza Gran Selezione,@kerinokeefe
5431,5400,Italy,Tuscany,Chianti Classico,Valiano,Valiano 2008 Riserva  (Chianti Classico),Red Blend,29.0,85,Kerin O’Keefe,"A blend of 90% Sangiovese and 10% Cabernet Sauvignon, this opens with aromas of oak, rubber and unusual sensations that recall petrol. There's more oak than fruit on the palate, delivering toasted oak, espresso, vanilla and coffee alongside hints of black cherry. It closes on an astringent, tannic note.",Riserva,@kerinokeefe
5445,5414,Italy,Piedmont,Barolo,Claudio Alario,Claudio Alario 2012 Sorano  (Barolo),Nebbiolo,90.0,88,Kerin O’Keefe,"French oak, a whiff of exotic spice and a buttery note lead the nose. The oak-driven aromas follow through to the tannic palate together with licorice, roasted coffee bean and dried cherry.",Sorano,@kerinokeefe
5455,5424,Italy,Piedmont,Barbaresco,Gian Piero Marrone,Gian Piero Marrone 2011 Riserva  (Barbaresco),Nebbiolo,44.0,88,Kerin O’Keefe,"Earthy aromas of truffle, game, ripe dark-skinned fruit and scorched soil lead the nose. The firmly structured palate shows dense cranberry, dried Morello cherry, game and a touch of clove alongside close-grained tannins. Let the tannins unwind then drink up.",Riserva,@kerinokeefe
5523,5491,Italy,Tuscany,Brunello di Montalcino,Tenute Silvio Nardi,Tenute Silvio Nardi 2007 Poggio Doria  (Brunello di Montalcino),Sangiovese,148.0,93,Kerin O’Keefe,"Structured and elegant, it opens with a fruit fragrance of black plum, wild berries and prune accentuated with hints of leather, tilled soil and spice. The juicy palate delivers wild cherry layered with cinnamon, white pepper and carob alongside big, velvety tannins. Delicious now, it will also develop complexity. Drink now–2022.",Poggio Doria,@kerinokeefe
5534,5502,Italy,Tuscany,Bolgheri Superiore,Giovanni Chiappini,Giovanni Chiappini 2010 Guado de' Gemoli  (Bolgheri Superiore),Red Blend,90.0,93,Kerin O’Keefe,"plush wine, it's made from 80% Cabernet Sauvignon and 20% Merlot. It starts off with aromas of black berries, plum and stewed prunes along with a whiff of cedar. The warm, low-acid palate delivers mature black cherry, black currants, tobacco and black pepper alongside big, ripe tannins and the warmth of the noticeable alcohol. Drink through 2020. Lyra Wine, The Shepherd Company.",Guado de' Gemoli,@kerinokeefe
5687,5649,Italy,Tuscany,Toscana,Tua Rita,Tua Rita 2013 Per Sempre Syrah (Toscana),Syrah,300.0,90,Kerin O’Keefe,"Spicy and supple, this has aromas of cured meat, white pepper, toast and dark plum that follow the warm robust palate along with dried black cherry, coffee and licorice. Round tannins provide the supple framework. Drink through 2020.",Per Sempre,@kerinokeefe
5688,5650,Italy,Tuscany,Toscana,Tua Rita,Tua Rita 2013 Perlato del Bosco Sangiovese (Toscana),Sangiovese,28.0,90,Kerin O’Keefe,"Made entirely with Sangiovese, this opens with aromas of mature dark-skinned berry, violet and a whiff of baking spice. On the bright silky palate, notes of pipe tobacco, chopped herb and a hint of game add depth to the red-berry core.",Perlato del Bosco,@kerinokeefe
5700,5661,Italy,Tuscany,Bolgheri,Donna Olimpia 1898,Donna Olimpia 1898 2013 Millepassi  (Bolgheri),Red Blend,58.0,90,Kerin O’Keefe,"Made with 70% Cabernet Sauvignon, 15% Merlot, 10% Petit Verdot and 5% Cabernet Franc, this bold wine opens with aromas of black currant, cedar and exotic spice. The concentrated palate delivers blueberry jam, graphite, anise and clove alongside assertive tannins that leave a firm finish.",Millepassi,@kerinokeefe
5709,5670,Italy,Tuscany,Bolgheri Superiore,Poggio al Tesoro,Poggio al Tesoro 2013 Sondraia  (Bolgheri Superiore),Red Blend,50.0,90,Kerin O’Keefe,"Aromas of black currant and a whiff of bell pepper slowly emerge on this hearty blend of 65% Cabernet Sauvignon, 25% Merlot and 10% Cabernet Franc. Concentrated and robust, the palate offers cassis, black cherry, licorice and the heat of evident alcohol alongside big velvety tannins.",Sondraia,@kerinokeefe
5744,5704,Italy,Piedmont,Barolo,Villadoria,Villadoria 2004 Riserva  (Barolo),Nebbiolo,50.0,91,Kerin O’Keefe,"From one of the best vintages in the last 15 years, this classic Barolo needs to be opened a couple of hours ahead of time to breathe. It's a bit shy on aromas but the palate delivers dried cherry, fig, tobacco, white pepper and black tea flavors. Youthful acidity accompanies silky tannins in this wine that is just starting to develop complexity. Drink through 2024.",Riserva,@kerinokeefe
5754,5713,Italy,Tuscany,Brunello di Montalcino,La Poderina,La Poderina 2008 Poggio Abate Riserva  (Brunello di Montalcino),Sangiovese,78.0,91,Kerin O’Keefe,"Round and velvety, it has aromas of ripe berry, chocolate and exotic spices. The rich palate delivers juicy black cherry punctuated with ground black pepper, cinnamon, carob, pipe tobacco and mint. Forward and sweet, this is already extremely accessible so enjoy soon. Drink through 2018.",Poggio Abate Riserva,@kerinokeefe
5755,5714,Italy,Tuscany,Toscana,Le Macchiole,Le Macchiole 2010 Scrio Syrah (Toscana),Syrah,160.0,91,Kerin O’Keefe,"Made entirely with Syrah, this concentrated wine delivers plum, black pepper, cocoa, coffee, fleshy black cherry and notes of bay leaf. It's plush, soft and savory but it also seems shy on vibrancy and essential energy. Drink sooner rather than later.",Scrio,@kerinokeefe
5767,5726,Italy,Piedmont,Barolo,Vietti,Vietti 2011 Rocche di Castiglione  (Barolo),Nebbiolo,200.0,90,Kerin O’Keefe,"This offers aromas of wild berry, baking spice, toast and a floral note. On the firm palate, notes of vanilla, clove and powdered sage accent a sour cherry core alongside nervous acidity. Close-grained tannins grip the finish. Drink 2018 through 2026.",Rocche di Castiglione,@kerinokeefe
5777,5737,Italy,Piedmont,Langhe,Elvio Cogno,Elvio Cogno 2014 Anas-cëtta Nascetta (Langhe),Nascetta,28.0,90,Kerin O’Keefe,"Deeply hued gold, this offers aromas suggesting pressed yellow flower, citrus zest, thyme and sage. The vibrant palate doles out lemon, crushed herb, toasted nut, acacia honey and mineral framed in zesty acidity. It shows impressive structure and depth for what was a cool, wet vintage.",Anas-cëtta,@kerinokeefe
5781,5741,Italy,Northeastern Italy,Alto Adige,Elena Walch,Elena Walch 2010 Castel Ringberg Riserva Lagrein (Alto Adige),Lagrein,45.0,90,Kerin O’Keefe,"Aromas of dark-skinned berry, cassis, leather and baking spice lift from the glass. On the solid palate, notes of vanilla, cocoa and espresso underscore a core of plum and blackberry. Ripe, robust tannins provide the framework. Drink through 2018.",Castel Ringberg Riserva,@kerinokeefe
5782,5742,Italy,Northeastern Italy,Alto Adige,Griesbauerhof,Griesbauerhof 2013 Georg Mumelter Lagrein (Alto Adige),Lagrein,22.0,90,Kerin O’Keefe,"This well-balanced, enjoyable red opens with aromas of blackberry, blue flower and a whiff of baking spice. The generous, savory palate delivers juicy blackberry, cassis, ground pepper and a cocoa note alongside velvety tannins that lend finesse. Drink through 2018.",Georg Mumelter,@kerinokeefe
5814,5774,Italy,Veneto,Amarone della Valpolicella Classico,Monte del Frà,Monte del Frà 2009 Scarnocchio  (Amarone della Valpolicella Classico),Red Blend,99.0,92,Kerin O’Keefe,"Spiced plum, crushed blue flower, black currant and a whiff of warms spice waft out of the glass. The high-toned palate delivers ripe blackberry, date and dried cherry accented with notes of nutmeg, licorice and black pepper. Velvety tannins provide structure.",Scarnocchio,@kerinokeefe
5816,5776,Italy,Veneto,Amarone della Valpolicella,Pieropan,Pieropan 2011 Vigna Garzon  (Amarone della Valpolicella),Red Blend,79.0,92,Kerin O’Keefe,"Bold and ripe, this offers aromas of crushed blue flower, ripe plum, mocha and exotic spice. The opulent, firmly structured palate doles out black cherry, blackberry jam, licorice, oak and a hint of coconut alongside tightly knit, fine-grained tannins.",Vigna Garzon,@kerinokeefe
5818,5778,Italy,Veneto,Amarone della Valpolicella Classico,Masi,Masi 2011 Costasera  (Amarone della Valpolicella Classico),Red Blend,64.0,92,Kerin O’Keefe,"Aromas of crushed violet, baked plum, cake spice, ripe berry and tobacco pervade in this bold, full-bodied red. The firm palate offers ripe black cherry, fig, mocha, nutmeg, licorice and tobacco alongside velvety tannins.",Costasera,@kerinokeefe
5876,5836,Italy,Piedmont,Barolo,Revello Fratelli,Revello Fratelli 2013 Cerretta  (Barolo),Nebbiolo,70.0,88,Kerin O’Keefe,"This full-bodied red opens with aromas suggesting French oak, raspberry jam coconut and exotic spice. The densely concentrated assertive palate offers licorice, dried cherry, tart cranberry and powdered sage while astringent grainy tannins provide an austere framework. You'll also detect the heat of evident alcohol.",Cerretta,@kerinokeefe
5882,5842,Italy,Veneto,Valpolicella,Valentina Cubi,Valentina Cubi 2015 Iperico  (Valpolicella),Red Blend,30.0,88,Kerin O’Keefe,"This is everything a Valpolicella should be: fresh, savory and incredibly easy to drink. Made with organically grown Corvina and Rondinella, it offers aromas and flavors of cherry, crushed raspberry and a sprinkling of baking spice alongside pliant tannins. Drink soon.",Iperico,@kerinokeefe
5900,5861,Italy,Southern Italy,Irpinia,Tenuta Cavalier Pepe,Tenuta Cavalier Pepe 2015 Lila Falanghina (Irpinia),Falanghina,15.0,88,Kerin O’Keefe,"This opens with aromas of tropical fruit, citrus and beeswax. The vibrant palate delivers grapefruit, lemon zest, rosemary and mint alongside lively acidity.",Lila,@kerinokeefe
6014,5974,Italy,Sicily & Sardinia,Terre Siciliane,Passopisciaro,Passopisciaro 2013 Passobianco Chardonnay (Terre Siciliane),Chardonnay,29.0,87,Kerin O’Keefe,"Made with 100% Chardonnay, this opens with aromas of toast, oak, acacia flower and orchard fruit. On the palate, oak-driven sensations compete with yellow apple, citrus and bitter walnut. Even though it has an abv of 13.5%, you'll notice evident alcohol on the close.",Passobianco,@kerinokeefe
6021,5981,Italy,Sicily & Sardinia,Terre Siciliane,Marchesi De Gregorio,Marchesi De Gregorio 2015 del Marchese Grillo (Terre Siciliane),Grillo,20.0,87,Kerin O’Keefe,"This bright white offers aromas of lime, pineapple and citrus blossom. The fresh palate delivers juicy lemon, apple and a hint of nut alongside tangy acidity while a saline note closes finish.",del Marchese,@kerinokeefe
6028,5988,Italy,Southern Italy,Puglia,Tenute Girolamo,Tenute Girolamo 2012 Codalunga Aglianico (Puglia),Aglianico,19.0,87,Kerin O’Keefe,"This 100% Aglianico opens with aromas of blue flower, mature red berry and a whiff of coffee. The easy-drinking palate has mellow tannins that frame dense black cherry and a hint of black spice.",Codalunga,@kerinokeefe
6032,5992,Italy,Sicily & Sardinia,Etna,Cantine Valenti,Cantine Valenti 2015 Enrico IV Bianco  (Etna),White Blend,25.0,87,Kerin O’Keefe,"Delicate scents of white flower, flint and white stone fruit slowly emerge on this crisp white. The linear, refreshing palate offers unripe peach, citrus and mineral alongside vibrant acidity.",Enrico IV Bianco,@kerinokeefe
6042,6002,Italy,Veneto,Veronese,Masi,Masi 2013 Rosso Campofiorin Oro Red (Veronese),Red Blend,23.0,90,Kerin O’Keefe,"A blend of 80% Corvina, 10% Rondinella and 10% Oseleta, this elegantly structured wine has a fragrance of black-skinned berry, cinnamon and underbrush. The earthy palate delivers ripe black plum, blackberry jam, cocoa and a hint of truffle while velvety tannins lend finesse. Enjoy through 2022.",Rosso Campofiorin Oro,@kerinokeefe
6056,6015,Italy,Veneto,Valpolicella Classico Superiore,Speri,Speri 2015 La Roverina  (Valpolicella Classico Superiore),Red Blend,17.0,90,Kerin O’Keefe,"Made with organically grown grapes, this single-vineyard bottling opens with enticing scents suggesting pressed violet, woodland berry, a potpourri of culinary spices and a balsamic note. Round and juicy, the smooth palate offers fleshy morello cherry, cinnamon and star anise alongside polished tannins. It's not very complex but it is delicious.",La Roverina,@kerinokeefe
6061,6020,Italy,Central Italy,Montefalco Rosso,Tenute Lunelli,Tenute Lunelli 2013 Lampante Riserva  (Montefalco Rosso),Red Blend,22.0,90,Kerin O’Keefe,"Aromas of forest floor, tilled earth, black-skinned fruit and dark spice lead the way. On the elegantly structured palate, notes of star anise and clove accent a core of dried black cherry and prune. Polished tannins provide lithe support. Drink through 2021.",Lampante Riserva,@kerinokeefe
6098,6057,Italy,Tuscany,Chianti Classico,Principe Corsini,Principe Corsini 2012 Le Corti  (Chianti Classico),Red Blend,25.0,89,Kerin O’Keefe,"Black-skinned berry, menthol, aromatic herb and dark spice are some of the aromas you'll find on this generous red. The firm palate shows juicy black cherry, fleshy plum, clove, sage and black pepper. It's sleek and balanced, with polished tannins. Drink through 2018.",Le Corti,@kerinokeefe
6105,6064,Italy,Tuscany,Chianti Classico,Bindi Sergardi,Bindi Sergardi 2011 Mocenni Gran Selezione  (Chianti Classico),Red Blend,60.0,89,Kerin O’Keefe,"Aromas of baked plum, coconut, scorched earth and oak emerge in the glass. The palate offers dried black cherry, oak-driven spice, licorice and tobacco alongside firm but fine-grained tannins. Drink 2016–2021.",Mocenni Gran Selezione,@kerinokeefe
6108,6067,Italy,Tuscany,Chianti Classico,Cantalici L'Antica Fornace di Ridolfo,Cantalici L'Antica Fornace di Ridolfo 2012 Baruffo  (Chianti Classico),Sangiovese,22.0,89,Kerin O’Keefe,"Aromas of menthol, underbrush, scorched soil, licorice and ripe plum lead the nose. The structured palate delivers dried black cherry, aniseed, eucalyptus and ground pepper alongside a backbone of fine-grained tannins. It closes on a coffee note.",Baruffo,@kerinokeefe
6110,6069,Italy,Tuscany,Chianti Classico,Castello di Gabbiano,Castello di Gabbiano 2011 Riserva  (Chianti Classico),Sangiovese,20.0,89,Kerin O’Keefe,"A full-bodied mix of Sangiovese and 5% Merlot, this offers aromas of ripe dark-skinned fruit, dark cooking spice, menthol and tobacco. On the firm, forward palate, notes of clove, peppercorn and anise accent the core of dried black cherry. Assertive, fine-grained tannins provide the framework.",Riserva,@kerinokeefe
6143,6101,Italy,Sicily & Sardinia,Carignano del Sulcis,Cantina Santadi,Cantina Santadi 2011 Noras  (Carignano del Sulcis),Red Blend,27.0,87,Kerin O’Keefe,"This robust red opens with aromas of ripe black-skinned fruit, scorched earth and dark cooking spice. The warm, forward palate offers black cherry marinated in spirits and licorice accompanied by ripe, velvety tannins. Unfortunately, the heat of searing alcohol throws it off balance and dominates the palate.",Noras,@kerinokeefe
6154,6112,Italy,Sicily & Sardinia,Cannonau di Sardegna,Giuseppe Gabbas,Giuseppe Gabbas 2011 Dule  (Cannonau di Sardegna),Cannonau,39.0,87,Kerin O’Keefe,"Toast, baked earth, grilled mushroom and roasted coffee bean aromas come together on this full-bodied wine. The evolved palate offers dried black cherry, raisin, oak, espresso and black pepper alongside firm tannins. Drink soon to capture the remaining fruit richness, which is already fading.",Dule,@kerinokeefe
6163,6121,Italy,Piedmont,Barolo,Ceretto,Ceretto 2011 Brunate  (Barolo),Nebbiolo,110.0,92,Kerin O’Keefe,"Pressed rose, woodland berry, sage and a whiff of exotic spice emerge on this firmly structured wine. The taut palate delivers mature black cherry, ground pepper, clove and licorice alongside tight, fine-grained tannins and the warmth of alcohol. Give it a few more years to unwind. Drink after 2019.",Brunate,@kerinokeefe
6176,6134,Italy,Piedmont,Barolo,Paolo Manzone,Paolo Manzone 2011 del Comune di Serralunga d'Alba  (Barolo),Nebbiolo,60.0,92,Kerin O’Keefe,"Red berry, pressed rose and balsamic aromas lead the nose. The structured palate offers juicy black cherry, grilled herb, licorice, clove and a hint of mocha accompanied by firm, velvety tannins and fresh acidity.",del Comune di Serralunga d'Alba,@kerinokeefe
6182,6140,Italy,Piedmont,Barolo,Giovanni Rosso,Giovanni Rosso 2011 del Comune di Serralunga d'Alba  (Barolo),Nebbiolo,53.0,92,Kerin O’Keefe,"This opens with earthy aromas of ripe dark fruit, scorched earth, game and truffle. The concentrated palate doles out juicy black cherry, crushed raspberry, sweet cake spice, tobacco and herb accompanied by firm, fine-grained tannins and a vein of fresh acidity.",del Comune di Serralunga d'Alba,@kerinokeefe
6186,6144,Italy,Piedmont,Barolo,Paolo Scavino,Paolo Scavino 2011 Carobric  (Barolo),Nebbiolo,80.0,92,Kerin O’Keefe,"Structured and balanced, this opens with aromas of dark berry, violet, menthol and spice. The focused palate doles out juicy black cherry, ripe strawberry, ground pepper, anise and chopped herb against a backdrop of closely-knit, refined tannins. Drink 2018–2028.",Carobric,@kerinokeefe
6216,6174,Italy,Central Italy,Lambrusco Grasparossa di Castelvetro,Villa di Corlo,Villa di Corlo NV Amabile  (Lambrusco Grasparossa di Castelvetro),Lambrusco Grasparossa,19.0,87,Kerin O’Keefe,"Here's a lively red dessert wine with ripe black-skinned fruit and candied orange zest aromas. The medium sweet, frothy palate offers blackberry jam, cake spice and confectionary notes alongside fresh acidity.",Amabile,@kerinokeefe
6233,6191,Italy,Piedmont,Barbaresco,Nada Fiorenzo,Nada Fiorenzo 2013 Rombone  (Barbaresco),Nebbiolo,50.0,87,Kerin O’Keefe,"Blue flower, menthol, red berry, dried herb and woodshop scents lead the nose of this wine. The linear palate offers cranberry, star anise, espresso and clove flavors, with a backbone of vibrant acidity. Tightly wound tannins grip the finish.",Rombone,@kerinokeefe
6237,6195,Italy,Piedmont,Barbera d'Asti,Pico Maccario,Pico Maccario 2016 Lavignone  (Barbera d'Asti),Barbera,16.0,87,Kerin O’Keefe,"This opens with black-skinned berry, clove and cooking spice aromas. The straightforward palate shows ripe black cherry, black plum and white pepper notes alongside smooth tannins. Drink soon.",Lavignone,@kerinokeefe
6273,6230,Italy,Northeastern Italy,Alto Adige,Baron Widmann,Baron Widmann 2013 Vernatsch Schiava (Alto Adige),Schiava,24.0,90,Kerin O’Keefe,"This lightly colored, luminous wine conveys intense aromas of rose and woodland berry. The vibrant palate offers wild strawberry, crushed red cherry, orange zest and almond, which follow through to the lingering finish. Crisp acidity and supple tannins balance the juicy fruit flavors.",Vernatsch,@kerinokeefe
6274,6231,Italy,Veneto,Soave Classico,Cantina del Castello,Cantina del Castello 2013 Pressoni  (Soave Classico),White Blend,16.0,90,Kerin O’Keefe,"Linear and vibrant, this opens with an enticing fragrance of hawthorn and black locust. The juicy palate offers creamy white peach, tart green apple and citrus alongside an energizing mineral vein. It's well balanced, with zesty acidity.",Pressoni,@kerinokeefe
6275,6232,Italy,Northeastern Italy,Alto Adige,Cantina Produttori Cortaccia,Cantina Produttori Cortaccia 2012 Glen Riserva Pinot Nero (Alto Adige),Pinot Nero,24.0,90,Kerin O’Keefe,Lovely fragrances of strawberry and alpine herb continue to the bright palate. Fresh acidity and silky tannins support the juicy red berry and spicy cedar flavors. It's well balanced and elegant. Drink through 2019.,Glen Riserva,@kerinokeefe
6287,6243,Italy,Northeastern Italy,Alto Adige,Elena Walch,Elena Walch 2013 Castel Ringberg Pinot Grigio (Alto Adige),Pinot Grigio,25.0,90,Kerin O’Keefe,"This fragrant white opens with aromas of white spring flower, jasmine, citrus, pear and a hint of alpine herb. The vibrant, elegant palate delivers layers of creamy Granny Smith apple, nectarine zest and steely mineral balanced by bright acidity.",Castel Ringberg,@kerinokeefe
6296,6252,Italy,Lombardy,Lugana,Pratello,Pratello 2012 Il Rivale  (Lugana),Turbiana,23.0,90,Kerin O’Keefe,"Delicate aromas of white spring blossom, citrus and orchard fruit waft from the glass. The round palate delivers white peach, creamy green apple, lemon drop and and a hint of vanilla brightened by fresh acidity. A mineral note marks the finish.",Il Rivale,@kerinokeefe
6303,6259,Italy,Northeastern Italy,Alto Adige,St. Pauls,St. Pauls 2013 Passion Sauvignon (Alto Adige),Sauvignon,29.0,90,Kerin O’Keefe,"Made with Sauvignon cultivated in high mountain vineyards, this vibrant, firmly structured wine presents aromas of tropical fruit, crushed tomato vine and a whiff of hay. The linear palate offers passion fruit, alpine herb and fennel alongside brisk acidity that leaves a pristine finish.",Passion,@kerinokeefe
6353,6309,Italy,Tuscany,Morellino di Scansano,Vignaioli del Morellino di Scansano,Vignaioli del Morellino di Scansano 2010 Riserva Roggiano  (Morellino di Scansano),Red Blend,22.0,83,Kerin O’Keefe,"This blend of 90% Sangiovese and 10% Merlot opens with acrid aromas that recall sweat and wet leaves. The palate delivers a mouthful of raw oak, roasted coffee bean and espresso. It lacks fruit richness and finishes on a bitter note of astringent wood tannins.",Riserva Roggiano,@kerinokeefe
